State,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charge,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
Hawaii,"13,254,252","12,002,505","2,680,989","6,485,563","2,992,707","1,089,489","252,431","1,987,915","72,249","90,772","1,718,103","1,117,850",,,"1,251,747","11,863,592","314,718","11,548,874","8,932,495","1,043,804","1,359,592","108,837","104,146","3,100,675","11,863,592","10,504,000","314,718","10,189,282",,"3,179,124","2,558,379","659,902","484,996","414,749","36,790","212,812","141,168","69,518","534,581","104,146","1,844,065",,,"1,359,592","8,757,730","18,196,041"
Idaho,"9,389,447","7,976,885","2,604,106","3,976,017","1,463,802","477,478","333,144","1,478,368","217,082","6,143","854,365","542,397",,"145,953","1,266,609","8,869,375","2,116,292","6,753,083","4,886,006","535,759","1,045,682","137,767","147,869","1,297,445","8,869,375","7,711,133","2,116,292","5,594,841",,"2,786,541","2,334,833","46,630","106,054","710,683","58,637","256,902","239,601","35,324","376,808","147,869","314,437","2,123","112,560","1,045,682","3,685,377","17,458,432"
Illinois,"81,081,130","70,060,683","20,159,614","40,821,385","10,489,152","7,152,130","2,730,407","15,913,816","4,054,267","481,613","4,782,066","4,297,618",,,"11,020,447","85,262,193","20,774,810","64,487,383","40,826,524","5,199,137","13,607,650","1,464,072","3,390,000","8,186,679","85,262,193","71,652,058","20,774,810","50,877,248",,"18,032,033","24,395,723","757,268","1,230,305","6,023,130","413,036","1,502,405","284,135","290,582","1,789,959","3,390,000","6,862,550","1,330,124",,"13,607,650","64,212,776","102,388,559"
Indiana,"38,974,243","36,119,845","12,933,905","17,435,854","7,279,604","3,360,322","643,936","5,232,977","903,572","15,443","3,449,162","2,300,924",,,"2,854,398","37,405,636","9,557,466","27,848,170","20,630,727","2,155,774","2,935,461","1,078,669","1,047,539","4,286,395","37,405,636","34,470,175","9,557,466","24,912,709",,"14,801,529","11,563,940","143,620","454,447","2,517,055","225,038","687,837","355,766","47,757","674,595","1,047,539","1,133,177","81,274",,"2,935,461","22,571,463","45,548,523"
Iowa,"25,417,404","22,286,437","6,048,742","9,189,255","3,040,627","1,228,001","874,778","3,471,617","463,238","110,994","3,236,035","3,812,405",,"280,834","2,850,133","22,478,436","5,273,825","17,204,611","12,092,590","1,934,399","2,391,593","569,550","216,479","3,283,752","22,478,436","19,894,554","5,273,825","14,620,729",,"7,129,439","5,905,922","1,727,315","203,481","2,161,820","100,780","294,185","317,514","29,242","618,596","216,479","958,166","36,898","192,289","2,391,593","6,223,008","23,709,990"
Kansas,"18,073,592","16,372,658","3,914,381","7,884,091","3,052,986","924,820","378,193","2,262,951","458,306","806,835","3,246,506","1,327,680",,,"1,700,934","18,010,288","4,808,061","13,202,227","9,864,254","1,114,657","1,860,326","195,653","167,337","2,661,097","18,010,288","16,149,962","4,808,061","11,341,901",,"7,010,167","3,825,630","1,711,494","364,256","1,297,725","103,785","359,801","212,368","34,963","460,886","167,337","449,683",,,"1,860,326","6,821,467","13,813,373"
Kentucky,"29,776,925","26,665,492","10,409,980","11,597,983","3,267,331","2,183,120","487,834","4,069,501","751,910","838,287","3,520,795","1,136,734",,,"3,111,433","33,422,994","4,746,735","28,676,259","20,280,820","2,479,523","4,205,545","1,035,029","675,342","4,112,502","33,422,994","29,182,828","4,746,735","24,436,093",,"9,614,803","10,875,235","1,572,995","427,761","2,532,215","196,160","542,193","374,144","113,164","979,058","675,342","1,181,670","58,586","4,319","4,205,545","13,784,882","29,553,837"
Louisiana,"28,134,018","24,067,064","9,678,411","9,696,730","2,926,783","2,358,843","386,358","2,983,104","253,650","787,992","1,837,046","2,854,877","12,287",,"4,054,667","30,614,617","6,429,509","24,185,108","16,087,523","2,120,748","4,451,549","670,807","854,481","3,899,848","30,614,617","26,154,618","6,429,509","19,725,109",,"8,897,506","8,399,355","355,809","364,693","1,560,873","326,366","672,298","845,230","358,647","1,054,902","854,481","2,215,348","8,450",,"4,451,549","17,616,233","46,019,481"
Maine,"8,916,579","8,132,423","2,782,334","4,064,075","1,280,298","718,753","268,026","1,533,130","168,966","94,902","827,635","458,379","8,744",33,"775,379","8,605,330","1,234,472","7,370,858","5,645,965","347,124","1,036,218","148,500","193,051","1,038,778","8,605,330","7,548,525","1,234,472","6,314,053",,"2,035,487","3,011,951","94,039","172,886","670,152","76,304","152,969","123,030","6,578","357,219","193,051","569,815","20,587",0,"1,036,218","5,011,671","11,680,872"
Maryland,"42,022,231","38,428,486","12,186,176","20,001,304","4,409,919","4,040,399","851,466","8,346,145","1,003,588","1,349,787","3,630,378","2,610,628","138,190",,"3,455,555","43,311,212","9,368,539","33,942,673","23,849,068","2,976,407","4,226,133","1,722,166","1,168,899","5,295,255","43,311,212","38,041,607","9,368,539","28,673,068",,"12,168,535","12,174,866","542,067","2,130,721","2,524,010","601,949","1,476,397","511,040","135,867","1,513,458","1,168,899","2,333,861","1,583,706",,"4,226,133","26,592,571","32,815,699"
